"Rank","Ensembl","Variance"
1,"ENSG00000229807",15.6133399859654
2,"ENSG00000129824",11.2640805369254
3,"ENSG00000211896",9.53788243723253
4,"ENSG00000165949",9.36859584274601
5,"ENSG00000067048",9.33682640138954
6,"ENSG00000204936",8.88065104312793
7,"ENSG00000012817",8.5770641544828
8,"ENSG00000198692",7.9624495714035
9,"ENSG00000134321",7.75746330939017
10,"ENSG00000137959",7.68766161536475
11,"ENSG00000099725",7.15092030193486
12,"ENSG00000118113",6.89908068226392
13,"ENSG00000183878",6.87859345464409
14,"ENSG00000133742",6.82355688082403
15,"ENSG00000185745",6.75553810790317
16,"ENSG00000211677",6.7398059384809
17,"ENSG00000088827",6.69557029991412
18,"ENSG00000102837",6.598469233761
19,"ENSG00000239839",6.49010507338169
20,"ENSG00000149131",6.42723444338999
21,"ENSG00000076864",6.39966331319131
22,"ENSG00000211895",6.34161624129948
23,"ENSG00000131002",6.27722626670329
24,"ENSG00000204632",6.11669505775846
25,"ENSG00000211897",6.0231701780496
26,"ENSG00000211679",5.91963996348631
27,"ENSG00000211592",5.8194896557621
28,"ENSG00000132465",5.79921593503427
29,"ENSG00000253755",5.79575393449663
30,"ENSG00000114374",5.69354921683232
31,"ENSG00000168903",5.67956940585317
32,"ENSG00000115155",5.63446012863517
33,"ENSG00000187608",5.6251666046793
34,"ENSG00000158578",5.5766359282843
35,"ENSG00000111331",5.50226910594515
36,"ENSG00000204622",5.49189517123574
37,"ENSG00000143416",5.44546275241664
38,"ENSG00000211893",5.44229455206765
39,"ENSG00000181126",5.37250457940124
40,"ENSG00000124102",5.30864674558443
41,"ENSG00000163958",5.24299108262353
42,"ENSG00000167768",5.22413225661004
43,"ENSG00000220267",5.14776786288641
44,"ENSG00000211662",5.11493090238174
45,"ENSG00000211666",5.09801189917871
46,"ENSG00000004939",5.08996171773668
47,"ENSG00000160932",5.07194282273168
48,"ENSG00000146122",5.01620785024299
49,"ENSG00000211890",4.95896533047822
50,"ENSG00000137965",4.92881932982285
51,"ENSG00000131203",4.87759721601599
52,"ENSG00000012223",4.86271984877233
53,"ENSG00000010030",4.84954233723039
54,"ENSG00000152463",4.84496098890612
55,"ENSG00000204010",4.82873005836865
56,"ENSG00000126709",4.76829048389387
57,"ENSG00000119917",4.76605098900181
58,"ENSG00000225492",4.72410252668658
59,"ENSG00000115590",4.71661331425339
60,"ENSG00000239951",4.6362869234186
61,"ENSG00000211949",4.63284402125207
62,"ENSG00000148346",4.63096768155479
63,"ENSG00000211660",4.56168773504176
64,"ENSG00000174944",4.54850635174386
65,"ENSG00000229391",4.53936919818924
66,"ENSG00000157601",4.52875468835187
67,"ENSG00000168062",4.47136157757783
68,"ENSG00000211598",4.44503805105444
69,"ENSG00000211653",4.41994806609698
70,"ENSG00000118520",4.38870624642535
71,"ENSG00000138646",4.35872492571564
72,"ENSG00000169877",4.3532147166938
73,"ENSG00000170476",4.35013835520108
74,"ENSG00000134326",4.34231758519549
75,"ENSG00000211892",4.34218907285122
76,"ENSG00000211659",4.34095518080781
77,"ENSG00000211644",4.33052544229276
78,"ENSG00000241351",4.30893758014252
79,"ENSG00000211673",4.29213308508269
80,"ENSG00000145335",4.29086729984221
81,"ENSG00000237541",4.24833524610732
82,"ENSG00000211651",4.22114034909554
83,"ENSG00000166947",4.20232318479827
84,"ENSG00000257017",4.19814808987139
85,"ENSG00000211668",4.17473165046453
86,"ENSG00000270550",4.16815946759918
87,"ENSG00000211945",4.16029299562763
88,"ENSG00000188056",4.15435611595991
89,"ENSG00000133106",4.12697893329637
90,"ENSG00000211959",4.12170698977834
91,"ENSG00000184979",4.11355764084938
92,"ENSG00000100985",4.10797073619923
93,"ENSG00000244437",4.07281377120103
94,"ENSG00000211648",4.0689925220802
95,"ENSG00000124469",4.05390174376423
96,"ENSG00000211663",4.04302245959677
97,"ENSG00000238243",4.03362518011182
98,"ENSG00000123836",4.01536403338286
99,"ENSG00000243466",3.95161081434158
100,"ENSG00000249790",3.94453967419738
101,"ENSG00000078081",3.92324556567199
102,"ENSG00000183019",3.92225408630788
103,"ENSG00000139572",3.90238381466229
104,"ENSG00000280411",3.88472938951007
105,"ENSG00000106565",3.88248970439402
106,"ENSG00000089169",3.8795723682584
107,"ENSG00000254415",3.83211688427398
108,"ENSG00000162722",3.82833915623896
109,"ENSG00000164821",3.82354841890309
110,"ENSG00000229314",3.82215892756749
111,"ENSG00000243753",3.79963840916554
112,"ENSG00000211640",3.79641473882455
113,"ENSG00000211934",3.78080042277127
114,"ENSG00000211899",3.77837936492348
115,"ENSG00000184792",3.77771674179674
116,"ENSG00000162551",3.76691747467221
117,"ENSG00000117228",3.73849478310507
118,"ENSG00000079308",3.72239348358935
119,"ENSG00000070182",3.71597910522664
120,"ENSG00000211947",3.70672579365278
121,"ENSG00000197561",3.70040231477619
122,"ENSG00000152766",3.68943580346633
123,"ENSG00000154451",3.67573730900486
124,"ENSG00000067646",3.64882602335651
125,"ENSG00000119922",3.63764509699393
126,"ENSG00000087116",3.61901531772618
127,"ENSG00000250361",3.60908597781756
128,"ENSG00000134184",3.60821206913067
129,"ENSG00000086548",3.59886114241237
130,"ENSG00000137267",3.59630251860691
131,"ENSG00000211966",3.58877213116425
132,"ENSG00000096006",3.58408237235188
133,"ENSG00000211955",3.57763032686697
134,"ENSG00000136929",3.56374612585261
135,"ENSG00000231412",3.55235306773502
136,"ENSG00000111335",3.54644162735017
137,"ENSG00000002726",3.52445923915447
138,"ENSG00000163221",3.51515280913504
139,"ENSG00000196415",3.49287009694908
140,"ENSG00000169245",3.47564650470464
141,"ENSG00000278196",3.46512493420584
142,"ENSG00000133069",3.46413821527494
143,"ENSG00000211938",3.45136695824861
144,"ENSG00000164120",3.44895436321972
145,"ENSG00000108387",3.444388729174
146,"ENSG00000132530",3.44093938977189
147,"ENSG00000163959",3.43494906658313
148,"ENSG00000136842",3.43193123932473
149,"ENSG00000002933",3.42764912230412
150,"ENSG00000112299",3.41712525900042
151,"ENSG00000187653",3.40699701609719
152,"ENSG00000162654",3.37778844549079
153,"ENSG00000108309",3.36936162726116
154,"ENSG00000225630",3.36612752820331
155,"ENSG00000104918",3.35011008232159
156,"ENSG00000206177",3.34418621021054
157,"ENSG00000211649",3.33487505902412
158,"ENSG00000172331",3.33201305503837
159,"ENSG00000123119",3.32306102172739
160,"ENSG00000133048",3.32067513469216
161,"ENSG00000211962",3.30821674767864
162,"ENSG00000211943",3.30492407076063
163,"ENSG00000105610",3.30095075660195
164,"ENSG00000103723",3.27217452844028
165,"ENSG00000013306",3.25342017637316
166,"ENSG00000133687",3.25152392209909
167,"ENSG00000089127",3.25124692402637
168,"ENSG00000135114",3.24598189769057
169,"ENSG00000211956",3.2429653759672
170,"ENSG00000211964",3.22350034970035
171,"ENSG00000082146",3.20557259952144
172,"ENSG00000225698",3.19527615735193
173,"ENSG00000106714",3.18544890944665
174,"ENSG00000100336",3.18308520345666
175,"ENSG00000224373",3.16061051120754
176,"ENSG00000211638",3.14500815695332
177,"ENSG00000211941",3.14487426946298
178,"ENSG00000125148",3.14196072544116
179,"ENSG00000173369",3.13714614018672
180,"ENSG00000130821",3.13453502505653
181,"ENSG00000123838",3.13401085207753
182,"ENSG00000115604",3.12968822444683
183,"ENSG00000163993",3.12896353967219
184,"ENSG00000100448",3.12876425883531
185,"ENSG00000241755",3.12189727263265
186,"ENSG00000169429",3.10121075101265
187,"ENSG00000233913",3.09837174394421
188,"ENSG00000172232",3.0970599639176
189,"ENSG00000211637",3.09292517150033
190,"ENSG00000162366",3.09251917529331
191,"ENSG00000138772",3.08962622307821
192,"ENSG00000029534",3.08007800614247
193,"ENSG00000120217",3.06485292457847
194,"ENSG00000008438",3.06126142315398
195,"ENSG00000124098",3.05939491529836
196,"ENSG00000048462",3.05244051179327
197,"ENSG00000180537",3.04452455775427
198,"ENSG00000196141",3.04210397749618
199,"ENSG00000079215",3.04153948600454
200,"ENSG00000197766",3.03581650742614
201,"ENSG00000066926",3.02311091627864
202,"ENSG00000161905",3.01655845846687
203,"ENSG00000137198",3.01131108139856
204,"ENSG00000156113",3.01008777808224
205,"ENSG00000005381",2.99998876559376
206,"ENSG00000101057",2.99982150802703
207,"ENSG00000167680",2.99851183084018
208,"ENSG00000141469",2.99664884234709
209,"ENSG00000179750",2.99529888960918
210,"ENSG00000173801",2.99040279583829
211,"ENSG00000268903",2.96829233458489
212,"ENSG00000120306",2.96444617880408
213,"ENSG00000147689",2.9562760379754
214,"ENSG00000101335",2.95399169948216
215,"ENSG00000274173",2.94704910261184
216,"ENSG00000101425",2.94470356667193
217,"ENSG00000250138",2.94181222307684
218,"ENSG00000159189",2.91577866730326
219,"ENSG00000170180",2.91533970841551
220,"ENSG00000211967",2.91265132112173
221,"ENSG00000170439",2.9058215211267
222,"ENSG00000166527",2.90106259947767
223,"ENSG00000189221",2.88760448583804
224,"ENSG00000225873",2.88045976688144
225,"ENSG00000282651",2.86713963041971
226,"ENSG00000171848",2.86424016678104
227,"ENSG00000158856",2.86124723332688
228,"ENSG00000211935",2.85925065049555
229,"ENSG00000187244",2.85369359831829
230,"ENSG00000079385",2.85179502500072
231,"ENSG00000036448",2.83913456063718
232,"ENSG00000230202",2.8335263569875
233,"ENSG00000211669",2.83167293639863
234,"ENSG00000142089",2.82642131197653
235,"ENSG00000047597",2.81503303958344
236,"ENSG00000110203",2.8128741720467
237,"ENSG00000211937",2.81216942649133
238,"ENSG00000137869",2.81062464672611
239,"ENSG00000173868",2.80987601855948
240,"ENSG00000184557",2.80828520938079
241,"ENSG00000183508",2.80811916944799
242,"ENSG00000173372",2.79765919023888
243,"ENSG00000241294",2.79763730597351
244,"ENSG00000100450",2.79444735478768
245,"ENSG00000211933",2.78666308840704
246,"ENSG00000124107",2.78330136472393
247,"ENSG00000243064",2.77215604584861
248,"ENSG00000275063",2.77037289873046
249,"ENSG00000156738",2.7694285454331
