"PrincipalComponent","VarianceProportion","VariancePercent","CumulativePercent"
"PC1",0.236529114999771,23.6529114999771,23.6529114999771
"PC2",0.124756808440071,12.4756808440071,36.1285923439842
"PC3",0.114254929511526,11.4254929511526,47.5540852951368
"PC4",0.0916355146149094,9.16355146149094,56.7176367566277
"PC5",0.0496627373065891,4.96627373065891,61.6839104872867
"PC6",0.0439161483650388,4.39161483650388,66.0755253237905
"PC7",0.0304645916526577,3.04645916526577,69.1219844890563
"PC8",0.0257493435914526,2.57493435914526,71.6969188482016
"PC9",0.0234903541320858,2.34903541320858,74.0459542614101
"PC10",0.0131475896108779,1.31475896108779,75.3607132224979
"PC11",0.0122130356169523,1.22130356169523,76.5820167841932
"PC12",0.0112936731908683,1.12936731908683,77.71138410328
"PC13",0.00863579363590126,0.863579363590126,78.5749634668701
"PC14",0.00741055876233107,0.741055876233107,79.3160193431032
"PC15",0.00667296926841402,0.667296926841402,79.9833162699446
"PC16",0.00573901812302717,0.573901812302717,80.5572180822473
"PC17",0.00549076168830122,0.549076168830122,81.1062942510775
"PC18",0.00500230694872105,0.500230694872105,81.6065249459496
"PC19",0.0047164960557849,0.47164960557849,82.0781745515281
"PC20",0.00440031277948752,0.440031277948752,82.5182058294768
"PC21",0.0042212068050562,0.42212068050562,82.9403265099824
"PC22",0.00388421120295667,0.388421120295666,83.3287476302781
"PC23",0.00376284055794542,0.376284055794542,83.7050316860726
"PC24",0.00354851567189661,0.354851567189661,84.0598832532623
"PC25",0.00347688577313305,0.347688577313305,84.4075718305756
"PC26",0.00334071548710395,0.334071548710395,84.741643379286
"PC27",0.0032854992807073,0.32854992807073,85.0701933073567
"PC28",0.00312773909852433,0.312773909852433,85.3829672172092
"PC29",0.00307407915356307,0.307407915356307,85.6903751325655
"PC30",0.00285569741885646,0.285569741885646,85.9759448744511
"PC31",0.00277749978770258,0.277749978770258,86.2536948532214
"PC32",0.0027625296808306,0.27625296808306,86.5299478213044
"PC33",0.00262977421945017,0.262977421945017,86.7929252432494
"PC34",0.00253727801071794,0.253727801071794,87.0466530443212
"PC35",0.00249251083546906,0.249251083546906,87.2959041278682
"PC36",0.00244749676442871,0.244749676442871,87.540653804311
"PC37",0.00238684569785384,0.238684569785384,87.7793383740964
"PC38",0.00223944842804867,0.223944842804867,88.0032832169013
"PC39",0.00219868091189017,0.219868091189017,88.2231513080903
"PC40",0.00217130344855715,0.217130344855715,88.440281652946
"PC41",0.0020292301760979,0.20292301760979,88.6432046705558
"PC42",0.001974397630525,0.1974397630525,88.8406444336083
"PC43",0.00194763925697366,0.194763925697366,89.0354083593057
"PC44",0.00188311165545128,0.188311165545128,89.2237195248508
"PC45",0.00187563795895695,0.187563795895695,89.4112833207465
"PC46",0.00185647266760514,0.185647266760514,89.596930587507
"PC47",0.00177190981990579,0.177190981990579,89.7741215694976
"PC48",0.00174824142952856,0.174824142952856,89.9489457124504
"PC49",0.00167546105052428,0.167546105052428,90.1164918175029
"PC50",0.00164966852936473,0.164966852936473,90.2814586704393
"PC51",0.00162648164686803,0.162648164686803,90.4441068351261
"PC52",0.00160582891511617,0.160582891511617,90.6046897266377
"PC53",0.00158800129820164,0.158800129820164,90.7634898564579
"PC54",0.00156975473040806,0.156975473040806,90.9204653294987
"PC55",0.0014980655170383,0.14980655170383,91.0702718812025
"PC56",0.00147076674812251,0.147076674812251,91.2173485560148
"PC57",0.00143315487572607,0.143315487572607,91.3606640435874
"PC58",0.00140704683331638,0.140704683331638,91.501368726919
"PC59",0.00137570367225346,0.137570367225346,91.6389390941444
"PC60",0.00135878780153389,0.135878780153389,91.7748178742978
"PC61",0.00131352707422936,0.131352707422936,91.9061705817207
"PC62",0.00128947304451859,0.128947304451859,92.0351178861726
"PC63",0.00128083943057007,0.128083943057007,92.1632018292296
"PC64",0.00124013720170343,0.124013720170343,92.2872155493999
"PC65",0.00122175365725139,0.122175365725139,92.4093909151251
"PC66",0.00120686295549068,0.120686295549068,92.5300772106741
"PC67",0.00114844147796097,0.114844147796097,92.6449213584702
"PC68",0.00113707755663284,0.113707755663284,92.7586291141335
"PC69",0.00112250330451451,0.112250330451451,92.870879444585
"PC70",0.00109952991186917,0.109952991186917,92.9808324357719
"PC71",0.00109584713464445,0.109584713464445,93.0904171492363
"PC72",0.00108119306270515,0.108119306270515,93.1985364555068
"PC73",0.00104198215886717,0.104198215886717,93.3027346713936
"PC74",0.00102214571599649,0.102214571599649,93.4049492429932
"PC75",0.000991334747835763,0.0991334747835763,93.5040827177768
"PC76",0.000973044633912306,0.0973044633912306,93.601387181168
"PC77",0.000961687671430899,0.0961687671430899,93.6975559483111
"PC78",0.000941651651491843,0.0941651651491843,93.7917211134603
"PC79",0.000926020816175726,0.0926020816175726,93.8843231950779
"PC80",0.000913696632156183,0.0913696632156183,93.9756928582935
"PC81",0.000908614076721349,0.0908614076721349,94.0665542659656
"PC82",0.000897376789102357,0.0897376789102357,94.1562919448758
"PC83",0.000894094567349668,0.0894094567349668,94.2457014016108
"PC84",0.000874676496490999,0.0874676496490999,94.3331690512599
"PC85",0.000864821666709852,0.0864821666709852,94.4196512179309
"PC86",0.000842812044622443,0.0842812044622443,94.5039324223931
"PC87",0.00083297313707762,0.083297313707762,94.5872297361009
"PC88",0.000809859911539971,0.0809859911539971,94.6682157272549
"PC89",0.000793732612141893,0.0793732612141893,94.7475889884691
"PC90",0.000788445305456952,0.0788445305456952,94.8264335190148
"PC91",0.000762802025822547,0.0762802025822547,94.902713721597
"PC92",0.000753336466241314,0.0753336466241314,94.9780473682212
"PC93",0.000744589479134852,0.0744589479134852,95.0525063161347
"PC94",0.000729547501896391,0.0729547501896391,95.1254610663243
"PC95",0.000723821859936652,0.0723821859936652,95.197843252318
"PC96",0.000721749377508142,0.0721749377508142,95.2700181900688
"PC97",0.000709153367694284,0.0709153367694284,95.3409335268382
"PC98",0.000700509223630452,0.0700509223630452,95.4109844492013
"PC99",0.000691094862834451,0.0691094862834451,95.4800939354847
"PC100",0.000684790929635093,0.0684790929635093,95.5485730284482
"PC101",0.000672180185431774,0.0672180185431774,95.6157910469914
"PC102",0.000660122559709735,0.0660122559709735,95.6818033029624
"PC103",0.00064727243334062,0.064727243334062,95.7465305462964
"PC104",0.000640083692229654,0.0640083692229654,95.8105389155194
"PC105",0.000616636185236892,0.0616636185236892,95.8722025340431
"PC106",0.000610122734852479,0.0610122734852479,95.9332148075283
"PC107",0.000605950005190913,0.0605950005190913,95.9938098080474
"PC108",0.000597492825984572,0.0597492825984572,96.0535590906459
"PC109",0.000590369623275077,0.0590369623275077,96.1125960529734
"PC110",0.000585484960580632,0.0585484960580632,96.1711445490314
"PC111",0.000578933963591304,0.0578933963591304,96.2290379453906
"PC112",0.000562660410960187,0.0562660410960187,96.2853039864866
"PC113",0.000562048451407502,0.0562048451407502,96.3415088316273
"PC114",0.000552756383287605,0.0552756383287605,96.3967844699561
"PC115",0.000546218039610291,0.0546218039610291,96.4514062739171
"PC116",0.000535521339861823,0.0535521339861823,96.5049584079033
"PC117",0.000528132736571325,0.0528132736571325,96.5577716815605
"PC118",0.000515775733184878,0.0515775733184878,96.6093492548789
"PC119",0.000509212169700236,0.0509212169700236,96.660270471849
