"Sample","ClusterNumber","Cluster"
"sepcol001",1,"Cluster 1"
"sepcol002",2,"Cluster 2"
"sepcol003",2,"Cluster 2"
"sepcol004",2,"Cluster 2"
"sepcol005",1,"Cluster 1"
"sepcol006",1,"Cluster 1"
"sepcol007",1,"Cluster 1"
"sepcol008",2,"Cluster 2"
"sepcol009",2,"Cluster 2"
"sepcol010",1,"Cluster 1"
"sepcol012",2,"Cluster 2"
"sepcol014",3,"Cluster 3"
"sepcol015",1,"Cluster 1"
"sepcol016",1,"Cluster 1"
"sepcol017",2,"Cluster 2"
"sepcol018",1,"Cluster 1"
"sepcol019",1,"Cluster 1"
"sepcol020",1,"Cluster 1"
"sepcol021",1,"Cluster 1"
"sepcol022",1,"Cluster 1"
"sepcol024",2,"Cluster 2"
"sepcol025",1,"Cluster 1"
"sepcol026",1,"Cluster 1"
"sepcol027",2,"Cluster 2"
"sepcol028",1,"Cluster 1"
"sepcol032",2,"Cluster 2"
"sepcol034",3,"Cluster 3"
"sepcol040",4,"Cluster 4"
"sepcol044",4,"Cluster 4"
"sepcol045",3,"Cluster 3"
"sepcol046",3,"Cluster 3"
"sepcol049",3,"Cluster 3"
"sepcol050",3,"Cluster 3"
"sepcol055",3,"Cluster 3"
"sepcol056",3,"Cluster 3"
"sepcol058",3,"Cluster 3"
"sepcol059",2,"Cluster 2"
"sepcol060",4,"Cluster 4"
"sepcol061",4,"Cluster 4"
"sepcol062",2,"Cluster 2"
"sepcol063",4,"Cluster 4"
"sepcol064",4,"Cluster 4"
"sepcol065",4,"Cluster 4"
"sepcol067",4,"Cluster 4"
"sepcol069",4,"Cluster 4"
"sepcol070",4,"Cluster 4"
"sepcol071",2,"Cluster 2"
"sepcol073",3,"Cluster 3"
"sepcol075",4,"Cluster 4"
"sepcol077",3,"Cluster 3"
"sepcol082",3,"Cluster 3"
"sepcol086",4,"Cluster 4"
"sepcol087",4,"Cluster 4"
"sepcol089",3,"Cluster 3"
"sepcol091",3,"Cluster 3"
"sepcol092",3,"Cluster 3"
"sepcol093",3,"Cluster 3"
"sepcol094",3,"Cluster 3"
"sepcol096",3,"Cluster 3"
"sepcol097",3,"Cluster 3"
"sepcol103",4,"Cluster 4"
"sepcol104",4,"Cluster 4"
"sepcol105",4,"Cluster 4"
"sepcol106",4,"Cluster 4"
"sepcol108",4,"Cluster 4"
"sepcol109",3,"Cluster 3"
"sepcol110",4,"Cluster 4"
"sepnet0186",3,"Cluster 3"
"sepnet0344",3,"Cluster 3"
"sepnet0375",3,"Cluster 3"
"sepnet0537",3,"Cluster 3"
"sepnet0738",3,"Cluster 3"
"sepnet0904",3,"Cluster 3"
"sepnet1051",3,"Cluster 3"
"sepnet1093",3,"Cluster 3"
"sepnet1094",2,"Cluster 2"
"sepnet1140",3,"Cluster 3"
"sepnet1169",3,"Cluster 3"
"sepnet1170",3,"Cluster 3"
"sepnet1179a",3,"Cluster 3"
"sepnet1182",2,"Cluster 2"
"sepnet1183",3,"Cluster 3"
"sepnet1185",3,"Cluster 3"
"sepnet1191",3,"Cluster 3"
"sepnet1195",3,"Cluster 3"
"sepnet1196",2,"Cluster 2"
"sepnet1199",3,"Cluster 3"
"sepnet1201",3,"Cluster 3"
"sepnet1204",2,"Cluster 2"
"sepnet1205",3,"Cluster 3"
"sepnet1206",3,"Cluster 3"
"sepnet1209",3,"Cluster 3"
"sepnet1214a",3,"Cluster 3"
"sepnet1220",3,"Cluster 3"
"sepnet1221",3,"Cluster 3"
"sepnet1222",3,"Cluster 3"
"sepnet1230",3,"Cluster 3"
"sepnet1243",3,"Cluster 3"
"sepnet1244",3,"Cluster 3"
"sepnet1245",1,"Cluster 1"
"sepnet1251",2,"Cluster 2"
"sepnet1266",2,"Cluster 2"
"sepnet1267",3,"Cluster 3"
"sepnet1282",3,"Cluster 3"
"sepnet1283",3,"Cluster 3"
"sepnet1286",3,"Cluster 3"
"sepnet1287",3,"Cluster 3"
"sepnet1304",3,"Cluster 3"
"sepnet1310",3,"Cluster 3"
"sepnet1315",3,"Cluster 3"
"sepnet1317",1,"Cluster 1"
"sepnet1319",3,"Cluster 3"
"sepnet1323",3,"Cluster 3"
"sepnet1326",3,"Cluster 3"
"sepnet1329",3,"Cluster 3"
"sepnet1330",3,"Cluster 3"
"sepnet1331",3,"Cluster 3"
"sepnet1332",3,"Cluster 3"
"sepnet1335",3,"Cluster 3"
"sepnet1340",3,"Cluster 3"
"sepnet1344",3,"Cluster 3"
"sepnet1345",3,"Cluster 3"
"sepnet1347",2,"Cluster 2"
"sepnet1351",3,"Cluster 3"
"sepnet1355",3,"Cluster 3"
"sepnet1356",3,"Cluster 3"
"sepnet1359",3,"Cluster 3"
"sepnet1361",3,"Cluster 3"
"sepnet1362",2,"Cluster 2"
"sepnet1370",3,"Cluster 3"
"sepnet1375",3,"Cluster 3"
"sepnet1377",3,"Cluster 3"
"sepnet1378",3,"Cluster 3"
"sepnet1381",2,"Cluster 2"
"sepnet1385",3,"Cluster 3"
"sepnet1405",3,"Cluster 3"
"sepnet1406",3,"Cluster 3"
"sepnet1407",3,"Cluster 3"
"sepnet1409",3,"Cluster 3"
"sepnet1411",3,"Cluster 3"
"sepnet1413",3,"Cluster 3"
"sepnet1415",4,"Cluster 4"
"sepnet1416",3,"Cluster 3"
"sepnet1422",3,"Cluster 3"
"sepnet1425",3,"Cluster 3"
"sepnet1426",3,"Cluster 3"
"sepnet1440",3,"Cluster 3"
"sepnet1443",3,"Cluster 3"
"sepnet1447",3,"Cluster 3"
"sepnet1453",3,"Cluster 3"
"sepnet1493",3,"Cluster 3"
"sepnet155a",3,"Cluster 3"
"sepnet9001",3,"Cluster 3"
"sepnet9002",3,"Cluster 3"
"sepnet9003",3,"Cluster 3"
"sepnet9004",3,"Cluster 3"
"sepnet9005",2,"Cluster 2"
"sepnet9006",3,"Cluster 3"
"sepnet9007",2,"Cluster 2"
"sepnet9008",3,"Cluster 3"
"sepnet9009",3,"Cluster 3"
"sepnet9010",3,"Cluster 3"
"sepnet9011",3,"Cluster 3"
"sepnet9012",2,"Cluster 2"
"sepnet9013",3,"Cluster 3"
"sepnet9014",3,"Cluster 3"
"sepnet9015",3,"Cluster 3"
"sepnet9016",2,"Cluster 2"
"sepnet9017",3,"Cluster 3"
"sepnet9018",3,"Cluster 3"
"sepnet9019",3,"Cluster 3"
"sepvh006",3,"Cluster 3"
"sepvh019",3,"Cluster 3"
"sepvh024",3,"Cluster 3"
"sepvh029",2,"Cluster 2"
"sepvh033",2,"Cluster 2"
"sepvh037",2,"Cluster 2"
"sepvh040",3,"Cluster 3"
"sepvh043",3,"Cluster 3"
"sepvh044",3,"Cluster 3"
"sepvh047",3,"Cluster 3"
"sepvh050",3,"Cluster 3"
"sepwes003",2,"Cluster 2"
"sepwes006",2,"Cluster 2"
"sepwes007",2,"Cluster 2"
"sepwes008",3,"Cluster 3"
"sepwes009",1,"Cluster 1"
"sepwes010",2,"Cluster 2"
"sepwes011",1,"Cluster 1"
"sepwes012",2,"Cluster 2"
"sepwes013",2,"Cluster 2"
"sepwes014",1,"Cluster 1"
"sepwes015",2,"Cluster 2"
"sepwes016",2,"Cluster 2"
"sepwes017",2,"Cluster 2"
"sepwes018",2,"Cluster 2"
"sepwes019",2,"Cluster 2"
"sepwes020",2,"Cluster 2"
"sepwes021",2,"Cluster 2"
"sepwes023",2,"Cluster 2"
"sepwes024",2,"Cluster 2"
"sepwes025",2,"Cluster 2"
"sepwes026",2,"Cluster 2"
"sepwes027",2,"Cluster 2"
"sepwes029",2,"Cluster 2"
"sepwes030",1,"Cluster 1"
"sepwes031",3,"Cluster 3"
"sepwes032",2,"Cluster 2"
"sepwes033",2,"Cluster 2"
"sepwes034",1,"Cluster 1"
"sepwes036",1,"Cluster 1"
"sepwes038",2,"Cluster 2"
"sepwes039",1,"Cluster 1"
"sepwes040",2,"Cluster 2"
"sepwes041",2,"Cluster 2"
"sepwes043",2,"Cluster 2"
"sepwes044",1,"Cluster 1"
"sepwes046",1,"Cluster 1"
"sepwes047",2,"Cluster 2"
"sepwes049",3,"Cluster 3"
"sepwes051",2,"Cluster 2"
"sepwes052",2,"Cluster 2"
"sepwes056",2,"Cluster 2"
"sepwes058",1,"Cluster 1"
"sepwes059",2,"Cluster 2"
"sepwes060",2,"Cluster 2"
"sepwes061",3,"Cluster 3"
"sepwes062",1,"Cluster 1"
"sepwes063",3,"Cluster 3"
"sepwes064",2,"Cluster 2"
"sepwes065",2,"Cluster 2"
"sepwes066",1,"Cluster 1"
"sepwes067",2,"Cluster 2"
"sepwes068",2,"Cluster 2"
"sepwes069",2,"Cluster 2"
"sepwes070",2,"Cluster 2"
"sepwes071",2,"Cluster 2"
"sepwes072",2,"Cluster 2"
"sepwes073",2,"Cluster 2"
"sepwes074",2,"Cluster 2"
"sepwes076",1,"Cluster 1"
"sepwes077",2,"Cluster 2"
"sepwes080",2,"Cluster 2"
"sepwes082",2,"Cluster 2"
"sepwes083",3,"Cluster 3"
"sepwes084",2,"Cluster 2"
"sepwes086",2,"Cluster 2"
"sepwes087",2,"Cluster 2"
"sepwes089",2,"Cluster 2"
"sepwes090",2,"Cluster 2"
"sepwes091",2,"Cluster 2"
"sepwes092",1,"Cluster 1"
"sepwes095",2,"Cluster 2"
"sepwes096",2,"Cluster 2"
"sepwes097",2,"Cluster 2"
"sepwes098",2,"Cluster 2"
"sepwes099",3,"Cluster 3"
"sepwes101",2,"Cluster 2"
"sepwes102",2,"Cluster 2"
"sepwes103",1,"Cluster 1"
"sepwes104",2,"Cluster 2"
"sepwes105",1,"Cluster 1"
"sepwes106",2,"Cluster 2"
"sepwes110",1,"Cluster 1"
"sepwes111",2,"Cluster 2"
"sepwes112",2,"Cluster 2"
"sepcv001T1",2,"Cluster 2"
"sepcv002T0",3,"Cluster 3"
"sepcv003T0",2,"Cluster 2"
"sepcv004T0",2,"Cluster 2"
"sepcv005T0",2,"Cluster 2"
"sepcv006T0",2,"Cluster 2"
"sepcv007T1",2,"Cluster 2"
"sepcv008T1",2,"Cluster 2"
"sepcv009T1",3,"Cluster 3"
"sepcv010T0",2,"Cluster 2"
"sepcv011T0",3,"Cluster 3"
"sepcv012T1",2,"Cluster 2"
"sepcv013T1",2,"Cluster 2"
"sepcv015T1",3,"Cluster 3"
"sepcv016T1",2,"Cluster 2"
"sepcv017T0",2,"Cluster 2"
"sepcv018T1",2,"Cluster 2"
"sepcv019T0",2,"Cluster 2"
"sepcv020T0",2,"Cluster 2"
"sepcv021T0",2,"Cluster 2"
"sepcv022T0",2,"Cluster 2"
"sepcv023T1",2,"Cluster 2"
"sepcv024T1",3,"Cluster 3"
"sepcv026T0",2,"Cluster 2"
"sepcv027T0",2,"Cluster 2"
"sepcv028T1",2,"Cluster 2"
"sepcv029T1",2,"Cluster 2"
"sepcv030T1",3,"Cluster 3"
"sepcv031T1",2,"Cluster 2"
"sepcv032T1",2,"Cluster 2"
"sepcv033T1",1,"Cluster 1"
"sepcv034T1",2,"Cluster 2"
"sepcv036T0",2,"Cluster 2"
"sepcv037T0",2,"Cluster 2"
"sepcv039T1",2,"Cluster 2"
"sepcv040T1",2,"Cluster 2"
"sepcv041T2",2,"Cluster 2"
"sepcv042T0",2,"Cluster 2"
"sepcv043T1",2,"Cluster 2"
"sepcv044T0",2,"Cluster 2"
"sepcv045T1",3,"Cluster 3"
"sepcv047T1",2,"Cluster 2"
"sepcv048T1",2,"Cluster 2"
"sepcv049T1",2,"Cluster 2"
"sepcv050T1",2,"Cluster 2"
"sepcv051T1",2,"Cluster 2"
"sepcv052T1",2,"Cluster 2"
"sepcv053T1",2,"Cluster 2"
"sepcv054T1",2,"Cluster 2"
"sepcv055T1",2,"Cluster 2"
"sepcv056T1",2,"Cluster 2"
"sepcv057T1",1,"Cluster 1"
"sepcv058T1",2,"Cluster 2"
"sepcv059T1",2,"Cluster 2"
"sepcv060T1",3,"Cluster 3"
"sepcv061T1",2,"Cluster 2"
"sepcv062T1",2,"Cluster 2"
"sepcv063T1",2,"Cluster 2"
"sepcv065T0",2,"Cluster 2"
"sepcv066T1",2,"Cluster 2"
"sepcv067T1",3,"Cluster 3"
"sepcv068T1a",2,"Cluster 2"
"sepcv069T1",3,"Cluster 3"
"sepcv070T1",2,"Cluster 2"
"sepcv071T1",2,"Cluster 2"
"sepcv072T1",1,"Cluster 1"
"sepcv073T1",2,"Cluster 2"
"sepcv074T1",2,"Cluster 2"
"sepcv075T1",2,"Cluster 2"
"sepcv076T1",2,"Cluster 2"
"sepcv077T1",3,"Cluster 3"
"sepcv078T1",2,"Cluster 2"
"sepcv079T1",2,"Cluster 2"
"sepcv080T1",2,"Cluster 2"
"sepcv082T1",2,"Cluster 2"
"sepcv083T0",2,"Cluster 2"
"sepcv084T0",2,"Cluster 2"
"sepcv085T1",2,"Cluster 2"
"sepcv086T1",2,"Cluster 2"
"sepcv087T1",2,"Cluster 2"
"sepcv702W1",2,"Cluster 2"
"sepcv703W1",2,"Cluster 2"
