"Ensembl","EnsemblBase","SYMBOL","GENENAME","ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Comparison","Direction","AbsoluteLFC"
"ENSG00000255197","ENSG00000255197","SLC39A13-AS1","SLC39A13 antisense RNA 1","127138868",257.114682924581,-2.73274798754487,0.156616579666486,4.09157268960202e-70,2.58287345318944e-66,"Cluster 4 vs Cluster 3","Downregulated",2.73274798754487
"ENSG00000116701","ENSG00000116701","NCF2","neutrophil cytosolic factor 2","4688",13302.9547660419,-2.27077245737361,0.132690199563904,6.10865437404313e-67,2.89214241339072e-63,"Cluster 4 vs Cluster 3","Downregulated",2.27077245737361
"ENSG00000135821","ENSG00000135821","GLUL","glutamate-ammonia ligase","2752",7074.64961262254,-2.31352765465608,0.139279096309277,2.71035416754272e-63,8.554781204154e-60,"Cluster 4 vs Cluster 3","Downregulated",2.31352765465608
"ENSG00000135083","ENSG00000135083","CCNJL","cyclin J like","79616",632.212438327779,-3.94447325912606,0.239192786612113,5.46269148038556e-63,1.29315564069427e-59,"Cluster 4 vs Cluster 3","Downregulated",3.94447325912606
"ENSG00000198053","ENSG00000198053","SIRPA","signal regulatory protein alpha","140885",3856.35449959327,-2.76310271646736,0.167256815863911,1.43177426973323e-62,2.55982401867272e-59,"Cluster 4 vs Cluster 3","Downregulated",2.76310271646736
"ENSG00000143226","ENSG00000143226","FCGR2A","Fc gamma receptor IIa","2212",11838.5994077984,-2.86415425341253,0.174433285484875,3.76734409389271e-62,5.48815095770309e-59,"Cluster 4 vs Cluster 3","Downregulated",2.86415425341253
"ENSG00000151948","ENSG00000151948","GLT1D1","glycosyltransferase 1 domain containing 1","144423",2382.70437115997,-2.76052748426106,0.168158698845665,4.1792204055715e-62,5.65329114576523e-59,"Cluster 4 vs Cluster 3","Downregulated",2.76052748426106
"ENSG00000175538","ENSG00000175538","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3","10008",1180.38813691896,-1.96522054491726,0.120438266746068,7.71569968615896e-61,9.74132804376522e-58,"Cluster 4 vs Cluster 3","Downregulated",1.96522054491726
"ENSG00000105835","ENSG00000105835","NAMPT","nicotinamide phosphoribosyltransferase","10135",23730.0360702564,-3.35115471223614,0.208523351874346,7.3759569169659e-60,8.60722523609985e-57,"Cluster 4 vs Cluster 3","Downregulated",3.35115471223614
"ENSG00000171777","ENSG00000171777","RASGRP4","RAS guanyl releasing protein 4","115727",2263.76552028784,-2.68539557906698,0.167492560530079,7.72641403599627e-60,8.60722523609985e-57,"Cluster 4 vs Cluster 3","Downregulated",2.68539557906698
"ENSG00000183762","ENSG00000183762","KREMEN1","kringle containing transmembrane protein 1","83999",1480.55266951639,-4.07096737924956,0.256447040489199,1.1402905028495e-58,1.13656955489283e-55,"Cluster 4 vs Cluster 3","Downregulated",4.07096737924956
"ENSG00000159128","ENSG00000159128","IFNGR2","interferon gamma receptor 2","3460",3243.10934577016,-2.04441177240679,0.127957197217036,1.2805076293845e-58,1.21251267426418e-55,"Cluster 4 vs Cluster 3","Downregulated",2.04441177240679
