"Ensembl","EnsemblBase","SYMBOL","GENENAME","ENTREZID","baseMean","log2FoldChange","lfcSE","pvalue","padj","Comparison","Direction","AbsoluteLFC"
"ENSG00000068912","ENSG00000068912","ERLEC1","endoplasmic reticulum lectin 1","27248",256.93464973044,2.32104658866654,0.129416133625951,2.41331683784512e-72,4.57033942751108e-68,"Cluster 4 vs Cluster 3","Upregulated",2.32104658866654
"ENSG00000086475","ENSG00000086475","SEPHS1","selenophosphate synthetase 1","22929",122.654719905873,1.75664239141279,0.0994871465001307,3.53613925253179e-70,2.58287345318944e-66,"Cluster 4 vs Cluster 3","Upregulated",1.75664239141279
"ENSG00000114850","ENSG00000114850","SSR3","signal sequence receptor subunit 3","6747",616.999187227172,1.7878745326216,0.104400993062358,3.74749134462746e-66,1.4193998216911e-62,"Cluster 4 vs Cluster 3","Upregulated",1.7878745326216
"ENSG00000141956","ENSG00000141956","PRDM15","PR/SET domain 15","63977",63.4827388629259,2.15298187360718,0.12877414939759,3.75405628106788e-63,1.01563311215519e-59,"Cluster 4 vs Cluster 3","Upregulated",2.15298187360718
"ENSG00000131871","ENSG00000131871","SELENOS","selenoprotein S","55829",153.773592618521,1.79076514532577,0.10749748109837,8.13441068081572e-63,1.71166077192542e-59,"Cluster 4 vs Cluster 3","Upregulated",1.79076514532577
"ENSG00000074695","ENSG00000074695","LMAN1","lectin, mannose binding 1","3998",329.407645026797,3.20000965325736,0.192072596289615,1.4868552225895e-62,2.55982401867272e-59,"Cluster 4 vs Cluster 3","Upregulated",3.20000965325736
"ENSG00000153066","ENSG00000153066","TXNDC11","thioredoxin domain containing 11","51061",370.802934988565,2.24912889272697,0.135768082935383,1.95469257242727e-62,3.08483066138564e-59,"Cluster 4 vs Cluster 3","Upregulated",2.24912889272697
"ENSG00000118705","ENSG00000118705","RPN2","ribophorin II","6185",989.854320538192,1.67897704215543,0.104155682675505,7.06201011383504e-59,7.43001930754489e-56,"Cluster 4 vs Cluster 3","Upregulated",1.67897704215543
"ENSG00000149636","ENSG00000149636","DSN1","DSN1 component of MIS12 kinetochore complex","79980",73.8093555716111,1.68234710142861,0.104833127778303,3.67687256735632e-58,3.31583869907591e-55,"Cluster 4 vs Cluster 3","Upregulated",1.68234710142861
"ENSG00000049656","ENSG00000049656","CLPTM1L","CLPTM1 like","81037",522.120549713678,1.45418932286422,0.0910778058952326,8.77285685180459e-58,7.55183468452161e-55,"Cluster 4 vs Cluster 3","Upregulated",1.45418932286422
"ENSG00000117143","ENSG00000117143","UAP1","UDP-N-acetylglucosamine pyrophosphorylase 1","6675",108.180474327627,3.15464018303015,0.198987215813604,5.69797354953253e-57,3.8538651100374e-54,"Cluster 4 vs Cluster 3","Upregulated",3.15464018303015
