"HeatmapRank","Ensembl","SYMBOL","GENENAME","baseMean","log2FoldChange","padj","HeatmapScore"
1,"ENSG00000115590","IL1R2","interleukin 1 receptor type 2",5068.82791122087,2.9407180174482,3.02669237581689e-21,10.895340310745
2,"ENSG00000100985","MMP9","matrix metallopeptidase 9",7069.3629951273,2.716513179699,3.75874414371114e-21,10.457059142994
3,"ENSG00000146122","DAAM2","dishevelled associated activator of morphogenesis 2",226.622252562559,4.21125636650077,2.29917640831183e-24,9.92683548345923
4,"ENSG00000151726","ACSL1","acyl-CoA synthetase long chain family member 1",26740.5136901868,2.13325606023057,3.97856351522729e-34,9.4443213357817
5,"ENSG00000185201","IFITM2","interferon induced transmembrane protein 2",27728.8566646299,2.04290127263117,4.06701559895056e-32,9.07650335677319
6,"ENSG00000162551","ALPL","alkaline phosphatase, biomineralization associated",9518.94777074358,2.28118228235724,6.14477334147157e-23,9.07599067930072
7,"ENSG00000162896","PIGR","polymeric immunoglobulin receptor",20.030290750476,-6.73835203814591,2.63147836042113e-20,8.91379716834063
8,"ENSG00000152463","OLAH","oleoyl-ACP hydrolase",168.44049532642,3.92778028935561,9.09163673838434e-22,8.75508987126713
9,"ENSG00000119535","CSF3R","colony stimulating factor 3 receptor",46573.7524593632,1.8333072685614,4.92986296561354e-32,8.55815434384037
10,"ENSG00000008516","MMP25","matrix metallopeptidase 25",9167.50092969665,2.10635495939399,3.56851460981276e-29,8.34600674507183
11,"ENSG00000135636","DYSF","dysferlin",7886.37514828267,2.1305798342609,1.33881549215596e-37,8.30272579512673
12,"ENSG00000171236","LRG1","leucine rich alpha-2-glycoprotein 1",3293.85138392306,2.34103759374857,1.36960428820414e-30,8.23538592732411
13,"ENSG00000103569","AQP9","aquaporin 9",18115.7930245782,1.88904544164474,7.62124729693867e-34,8.04370911290509
14,"ENSG00000257335","MGAM","maltase-glucoamylase",5578.29522841561,2.12105506467887,2.12659546768437e-30,7.94670109007963
15,"ENSG00000134686","PHC2","polyhomeotic homolog 2",4347.08493244036,2.17595637465183,2.48541043434812e-42,7.91677776667515
16,"ENSG00000176788","BASP1","brain abundant membrane attached signal protein 1",8883.85639465724,1.99994422946758,7.13011081931952e-28,7.89708060711461
17,"ENSG00000105835","NAMPT","nicotinamide phosphoribosyltransferase",23730.0360702564,1.80348728298522,3.89006793444847e-29,7.89082802646979
18,"ENSG00000079385","CEACAM1","CEA cell adhesion molecule 1",2279.39370608418,2.34153990487526,4.20296685394965e-20,7.86291402651453
19,"ENSG00000170525","PFKFB3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3",2791.26624815248,2.25031109961737,3.8780483552214e-22,7.75447489608293
20,"ENSG00000066336","SPI1","Spi-1 proto-oncogene",9243.74538491994,1.95466431690979,3.47683917240209e-38,7.7519933521639
21,"ENSG00000182541","LIMK2","LIM domain kinase 2",4515.71141969901,2.10166421322914,1.03196420018173e-37,7.68120932534216
22,"ENSG00000142089","IFITM3","interferon induced transmembrane protein 3",9859.46586183913,1.91168848926248,1.59387014426354e-15,7.63508775158716
23,"ENSG00000115604","IL18R1","interleukin 18 receptor 1",1294.37507709306,2.44661196695127,1.21346107925226e-23,7.61482416673231
24,"ENSG00000180871","CXCR2","C-X-C motif chemokine receptor 2",15358.954029513,1.81817936320415,4.49155112063698e-29,7.61160775142718
25,"ENSG00000189067","LITAF","lipopolysaccharide induced TNF factor",18782.3487719363,1.75920765306128,2.49090021623171e-30,7.51845420884415
26,"ENSG00000182885","ADGRG3","adhesion G protein-coupled receptor G3",4046.62828157835,2.08004964057702,9.52992707705331e-30,7.50315635675771
27,"ENSG00000183019","MCEMP1","mast cell expressed membrane protein 1",2323.82069646262,2.22783598611839,1.23123296687283e-15,7.49976358947446
28,"ENSG00000135842","NIBAN1","niban apoptosis regulator 1",9131.41038881698,1.87866208216272,1.5179057095209e-33,7.44060165062807
29,"ENSG00000163464","CXCR1","C-X-C motif chemokine receptor 1",10891.4527398901,1.82579072486731,4.59397774574918e-29,7.37094662951403
30,"ENSG00000123836","PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2",1013.49399900826,2.44501840431545,5.24155749483305e-16,7.35033531246581
