ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0002377,immunoglobulin production,73/1627,169/12963,1.8686451256357305e-23,9.373123950188824e-20,9.046209402946027e-20,IGKV1-12/XBP1/IGKV3-15/IGKV1-9/IGLV2-14/IGKV1-8/IGLV2-23/IGLV3-19/HMCES/MZB1/IGLV1-40/IGLV1-47/IGLV1-44/IGLV3-21/IGLV7-46/PHB1/IGKV1-27/IGKV1-5/PHB2/IGLV2-8/IGLV7-43/IGLV1-51/IGKV1-16/IGKV3D-15/TRAF2/IGKV1D-8/IGKV4-1/IGKV3D-11/IGKV1D-12/IGLV2-11/PKN1/IGKV2-24/IGLV1-36/IGKV3D-20/IGLV8-61/IGKV2-30/IGLV6-57/IGKV1-13/IGLV4-60/IGLV9-49/IGLV5-45/IGKV1D-13/IGKV6-21/IGKV2D-24/IGKV2D-29/IGKV3-7/IGKV3-20/IGKV1D-17/MAD2L2/IGLV4-69/IGKV6D-21/IGKV2D-30/IGKV1-6/IGLV10-54/IGKV5-2/EXO1/IGLV3-10/TNFRSF4/IGLV5-37/BATF/IGLV3-25/IGKV1-39/IGLV5-48/IL6/POLQ/IGKV2-29/FOXP3/EPHB2/IGLV3-9/TRAV38-2DV8/IGLV4-3/IGLV3-16/IGKV1-17,73
GO:0019724,B cell mediated immunity,67/1627,178/12963,8.731373520911112e-18,2.189828479044507e-14,2.1134519380352742e-14,IGHV1-18/IGHV3-23/IGHV3-72/IGHG1/IGHV4-39/IGHV1-58/HMCES/IGLC2/IGKC/IGHV3-30/IGHV3-15/CD27/IGHV1-3/IGHV1-69/IGHV4-28/IGHV3-21/IGHV4-59/IGHA1/IGLC3/IGLC7/IGHG4/IGHV3-13/IGHV3-33/IGHV6-1/IGHV3-11/IGHV2-26/IGHV5-51/CD81/IGHV3-53/IGHV3-7/IGHV4-61/IGHV3-49/IGHA2/IGHV3-74/IGLL5/IGHV2-5/IGHV3-48/MAD2L2/IRF7/IGHV2-70/IGHE/IGHG3/IGHV3-20/C1R/IGHV3-64D/EXO1/IGHV1-69D/IGHV3-66/IGHV3-73/IGHV1-24/IGHV3-43/BATF/IGLC6/IGHV4-34/IGHM/IGHV7-4-1/IGLL1/IGHV4-4/IGHV3-35/ZP3/FOXP3/CD70/C1QC/IGHV3-64/SERPING1/C4B/FOXJ1,67
GO:0016064,immunoglobulin mediated immune response,66/1627,175/12963,1.3677456464522616e-17,2.2868707208681812e-14,2.207109553696123e-14,IGHV1-18/IGHV3-23/IGHV3-72/IGHG1/IGHV4-39/IGHV1-58/HMCES/IGLC2/IGKC/IGHV3-30/IGHV3-15/CD27/IGHV1-3/IGHV1-69/IGHV4-28/IGHV3-21/IGHV4-59/IGHA1/IGLC3/IGLC7/IGHG4/IGHV3-13/IGHV3-33/IGHV6-1/IGHV3-11/IGHV2-26/IGHV5-51/CD81/IGHV3-53/IGHV3-7/IGHV4-61/IGHV3-49/IGHA2/IGHV3-74/IGLL5/IGHV2-5/IGHV3-48/MAD2L2/IRF7/IGHV2-70/IGHE/IGHG3/IGHV3-20/C1R/IGHV3-64D/EXO1/IGHV1-69D/IGHV3-66/IGHV3-73/IGHV1-24/IGHV3-43/BATF/IGLC6/IGHV4-34/IGHM/IGHV7-4-1/IGLL1/IGHV4-4/IGHV3-35/ZP3/FOXP3/C1QC/IGHV3-64/SERPING1/C4B/FOXJ1,66
GO:0000280,nuclear division,106/1627,369/12963,3.389029495652089e-17,4.24984298754772e-14,4.101617539606305e-14,UBE2C/POLDIP2/UBE2S/AURKB/NCAPH2/PLK1/RCC1/RANBP1/TUBG1/KIF22/CALR/PPP2R1A/PHB2/PKMYT1/DSN1/ANAPC11/DAPK3/BANF1/MYBL2/CDT1/AURKAIP1/CENPX/KIFC1/CDCA8/CDC25C/MEI1/XRCC3/CDC20/SPC24/REC8/SPAG5/CDCA5/ZWINT/RAD54L/BIRC5/PIN1/ESPL1/PTTG1/SYCE2/CCNB1/NUDC/PSMC3IP/HASPIN/TRIP13/KIF18B/EME1/CCNB2/NUSAP1/BUB1/CCNE1/CDC25B/SEPTIN1/EML3/CKS2/KIF2C/NCAPH/AURKA/PINX1/MAD2L2/SGO1/MKI67/CHEK1/IGF1/MAD2L1/TPX2/FBXW5/DMC1/SPC25/KIF11/RACGAP1/CDCA2/KIF4A/FANCA/MND1/CENPI/TOP2A/RAD51/NDC80/PRC1/CDK1/DLGAP5/BUB1B/NCAPG/CENPF/KIF23/TEX14/LRP5/NUF2/KIF18A/KIF14/NEK2/TTK/AURKC/KNL1/KLHDC8B/BRME1/RAD51AP1/CENPE/FBXO43/CENPS/ANLN/ASPM/BRIP1/ZNF541/PDXP/WNT4,106
GO:0007059,chromosome segregation,108/1627,381/12963,4.813063441713851e-17,4.8284652447273353e-14,4.6600586880930534e-14,UBE2C/SLC25A5/SMARCB1/POLDIP2/AURKB/NCAPH2/NTMT1/TUBB/PLK1/RCC1/CENPO/TUBG1/KIF22/PPP2R1A/DSN1/ANAPC11/MYBL2/CIAO2B/CENPM/CDT1/SAC3D1/CENPW/CENPX/FIRRM/KIFC1/HAUS8/CDCA8/CDC6/XRCC3/CDC20/SPC24/REC8/SPAG5/CDCA5/ZWINT/ERCC2/BIRC5/ESPL1/PTTG1/SYCE2/CCNB1/NUDC/PSMC3IP/HASPIN/TRIP13/KIF18B/CCNB2/NUSAP1/CENPH/BUB1/CCNE1/SEPTIN1/EML3/KIF2C/NCAPH/MIS18A/AURKA/OIP5/BCL7C/PINX1/SKA1/MAD2L2/SGO1/HAUS5/CENPN/MKI67/CENPL/MAD2L1/TPX2/HJURP/CENPP/DMC1/MAP1S/SPC25/KIF11/RACGAP1/CENPU/CDCA2/ESCO2/KIF4A/MND1/SKA3/CENPI/TOP2A/NDC80/PRC1/CDK1/DLGAP5/BUB1B/NCAPG/FAM83D/CENPF/KIF23/STIL/TEX14/NUF2/KIF18A/KIF14/NEK2/TTK/AURKC/KNL1/KLHDC8B/CENPE/CENPS/ASPM/BRIP1/RMI2,108
GO:0002440,production of molecular mediator of immune response,82/1627,268/12963,2.894148191344581e-15,2.4195078879640698e-12,2.335120619648022e-12,IGKV1-12/XBP1/IGKV3-15/IGKV1-9/IGLV2-14/IGKV1-8/IGLV2-23/IGLV3-19/HMCES/MZB1/IGLV1-40/IGLV1-47/IGLV1-44/IGLV3-21/IGLV7-46/PHB1/IGKV1-27/IGKV1-5/PHB2/IGLV2-8/IGLV7-43/IGLV1-51/IGKV1-16/IGKV3D-15/CUEDC2/SPHK2/TRAF2/IGKV1D-8/IGKV4-1/IGKV3D-11/IGKV1D-12/IGLV2-11/PKN1/IGKV2-24/IGLV1-36/INAVA/IGKV3D-20/CD81/IGLV8-61/IGKV2-30/BST2/IGLV6-57/IGKV1-13/IGLV4-60/IGLV9-49/IGLV5-45/IGKV1D-13/IGKV6-21/IGKV2D-24/IGKV2D-29/IGKV3-7/IGKV3-20/TICAM1/IGKV1D-17/MAD2L2/IGLV4-69/MIF/IGKV6D-21/IGKV2D-30/IGKV1-6/IGLV10-54/IGKV5-2/EXO1/IGLV3-10/TNFRSF4/IGLV5-37/BATF/IGLV3-25/IGKV1-39/IGLV5-48/IL6/POLQ/IGKV2-29/FOXP3/EPHB2/SPON2/IGLV3-9/TRAV38-2DV8/IGLV4-3/IGLV3-16/AXL/IGKV1-17,82
GO:0140014,mitotic nuclear division,79/1627,255/12963,4.37946721266767e-15,3.138201076963005e-12,3.028747324971221e-12,UBE2C/POLDIP2/UBE2S/AURKB/NCAPH2/PLK1/RCC1/RANBP1/TUBG1/KIF22/PPP2R1A/PHB2/PKMYT1/DSN1/ANAPC11/DAPK3/BANF1/MYBL2/CDT1/AURKAIP1/KIFC1/CDCA8/CDC25C/XRCC3/CDC20/SPC24/SPAG5/CDCA5/ZWINT/BIRC5/PIN1/ESPL1/CCNB1/NUDC/HASPIN/TRIP13/KIF18B/NUSAP1/BUB1/EML3/KIF2C/NCAPH/AURKA/PINX1/MAD2L2/MKI67/CHEK1/IGF1/MAD2L1/TPX2/FBXW5/SPC25/KIF11/RACGAP1/CDCA2/KIF4A/CENPI/NDC80/PRC1/CDK1/DLGAP5/BUB1B/NCAPG/CENPF/KIF23/TEX14/LRP5/NUF2/KIF18A/KIF14/NEK2/TTK/AURKC/KNL1/KLHDC8B/CENPE/FBXO43/ANLN/PDXP,79
GO:0048285,organelle fission,109/1627,412/12963,6.814813625636355e-15,4.272888143273995e-12,4.123858929513369e-12,UBE2C/POLDIP2/UBE2S/AURKB/NCAPH2/PLK1/RCC1/RANBP1/TUBG1/KIF22/CALR/PPP2R1A/PHB2/PKMYT1/DSN1/ANAPC11/DAPK3/BANF1/MYBL2/CDT1/AURKAIP1/CENPX/KIFC1/PGAM5/CDCA8/CDC25C/MEI1/XRCC3/CDC20/SPC24/REC8/MTFR2/SPAG5/CDCA5/ZWINT/RAD54L/BIRC5/PIN1/ESPL1/PTTG1/SYCE2/CCNB1/NUDC/PSMC3IP/HASPIN/TRIP13/KIF18B/EME1/CCNB2/NUSAP1/BUB1/CCNE1/CDC25B/SEPTIN1/EML3/CKS2/KIF2C/NCAPH/AURKA/PINX1/MAD2L2/SGO1/MKI67/CHEK1/IGF1/MAD2L1/TPX2/FBXW5/DMC1/SPC25/KIF11/RACGAP1/CDCA2/KIF4A/FANCA/MND1/CENPI/TOP2A/RAD51/NDC80/PRC1/CDK1/DLGAP5/BUB1B/NCAPG/CENPF/KIF23/TEX14/LRP5/NUF2/KIF18A/KIF14/NEK2/TTK/MTFP1/AURKC/KNL1/KLHDC8B/BRME1/RAD51AP1/CENPE/FBXO43/CENPS/ANLN/ASPM/BRIP1/ZNF541/PDXP/WNT4,109
GO:0006261,DNA-templated DNA replication,56/1627,158/12963,8.821187004408189e-14,4.916341557123498e-11,4.744870062371142e-11,ALYREF/MCM7/HMGA1/MCM5/POLA2/TONSL/FEN1/POLD2/POLD1/TRAIP/RFC2/WDR18/CDT1/PCNA/CENPX/ENDOG/PRIM2/TK1/CDC6/GINS4/MCM3/RECQL4/GINS2/RFC4/DONSON/MCM4/GINS3/CDC45/LIG1/MCM6/GINS1/POLE2/GMNN/EME1/ORC1/CCNE1/MCM8/DBF4B/MCM2/POLE/TIPIN/NUGGC/TICRR/CHTF18/PNKP/ORC6/TIMELESS/POLN/E2F8/RAD51/MCM10/DSCC1/POLQ/CENPS/E2F7/CAMSAP3,56
GO:0007088,regulation of mitotic nuclear division,43/1627,107/12963,4.874448445605689e-13,2.2607317423881277e-10,2.1818822469661295e-10,UBE2C/AURKB/PLK1/RCC1/PKMYT1/ANAPC11/DAPK3/AURKAIP1/CDCA8/CDC25C/XRCC3/CDC20/SPC24/ZWINT/BIRC5/PIN1/ESPL1/CCNB1/HASPIN/TRIP13/NUSAP1/BUB1/AURKA/MAD2L2/MKI67/CHEK1/IGF1/MAD2L1/FBXW5/SPC25/CDCA2/NDC80/DLGAP5/BUB1B/CENPF/TEX14/LRP5/NUF2/NEK2/TTK/KNL1/FBXO43/PDXP,43
