ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0009611,response to wounding,161/2577,423/12963,1.116890605896786e-18,5.595410046028872e-15,3.865965221176538e-15,TLR4/LYN/VAV3/NFKBIZ/JMJD1C/IGF1R/ZFP36L1/PTEN/CHMP1B/NOTCH2/STXBP3/MAPK14/CFLAR/GNAQ/KREMEN1/HIF1A/VPS4B/ARFGEF1/F5/ABHD2/CRK/F2RL1/PIK3CG/NFE2L2/PIK3CB/ATP7A/ALOX5/TGFBR1/JAK2/THBD/STAT3/MAP2K4/ZFP36/GNA13/PIK3CA/LYVE1/BRAF/CLEC7A/PROS1/SLC11A1/PRKCD/F13A1/F11R/EMILIN2/SERPINA1/RAB27A/SYK/INHBB/RAF1/CHMP2B/JAML/PAPSS2/LRG1/PRCP/KIAA0319/PLA2G4A/SH2B3/KLF4/SLC1A3/PAK1/ARHGAP24/VCL/ADAM17/NLRP6/PLSCR1/CD44/CLASP1/PPP3CA/EXTL3/PLEK/P2RY1/HPSE/CEACAM1/ITGB3/ST3GAL4/MMRN1/THBS1/TLN1/DGKG/TPM1/MYLK/CTNNA1/TNFAIP3/CCR1/EXT1/MYH9/FGFR1OP2/ANO6/NRG1/PLAUR/SIGLEC10/P2RY12/VEGFA/EREG/IL6ST/TMIGD3/TUBB1/CD59/SLC4A1/POU5F1/MERTK/CHMP5/TEC/MFSD2B/DGKD/SELP/SCARF1/TFPI/SYTL4/CD36/ZFP36L2/PDCD10/CADM4/DMTN/PEAR1/GP6/PPARG/SERPINB2/SULF2/ITGB4/SLC6A4/ANXA1/AQP1/CD9/EPB41L4B/PRKCE/EDN1/ENTPD2/FKBP1B/PRKG1/TSPO/FCER1G/MPIG6B/TREML1/KRT1/FAP/PLPP3/MYOF/VIL1/SLC1A2/PDGFRA/GP1BA/ALOX12/MYL9/VWF/PF4/GP5/PPL/SERPINC1/CYP4F2/EPPK1/GATA1/DSP/NFIB/GATA2/ADRA2A/FERMT2/IL10/FGF2/OCLN/MMP2,161
GO:0032103,positive regulation of response to external stimulus,181/2577,498/12963,2.0696911581390314e-18,5.595410046028872e-15,3.865965221176538e-15,TLR1/TLR6/TLR4/TLR8/STX3/LYN/MOSPD2/FPR2/MAPK1/NFKBIZ/IGF1R/ALPK1/MEFV/IRAK3/USP15/LRRK2/RIPOR2/TLR2/CXCR2/TLR5/IL17RA/NAIP/RBM47/PAK2/MNDA/PJA2/STAT5B/C5AR1/SLC15A4/CARD8/EP300/TRIM25/PELI1/DDX3X/F2RL1/CEBPB/PIK3CG/RTN4/PTGS2/CREBBP/PIK3AP1/IL6R/NLRC4/ERBIN/CTSS/THBD/IL1B/NEDD9/IL18RAP/PDPK1/RPS6KA3/BCL10/TLR10/BRAF/MYD88/PPM1F/CLEC7A/IRAK4/TRAF6/ITCH/TNFRSF1A/HCK/CASP4/BIRC2/EMILIN2/CHUK/AKIRIN2/CD300LF/AKIRIN1/ADAM10/TNFSF14/OSM/NLRP12/SYK/MAP2K6/APPL2/NFKBIA/CLEC4E/NEK7/LY96/NLRP3/SEC14L1/PAK1/EPG5/TBK1/ADAM17/NLRP6/PLSCR1/ARG1/ARRB2/TASL/OXSR1/WNK1/MAPK13/CASP1/NOD2/CYLD/LILRA2/TNFSF4/FFAR2/ADAM8/THBS1/NMI/TNFAIP3/CCR1/PARP9/APP/ANO6/TLR9/CLEC6A/HSPA1A/FLOT1/DAPK2/P2RY12/S100A12/S100A8/VEGFA/EREG/GBP2/FCGR1A/IL6ST/S100A9/ZNFX1/SPI1/LILRA5/LACC1/RIOK3/C3AR1/SNCA/ALOX5AP/RAB11FIP2/BMPR2/SLC15A3/IFI16/CAMK1D/FFAR3/TIFA/PVR/CD300A/IL18/LPAR1/PDE2A/RIGI/IRF1/TRIM6/SCARF1/AIM2/CNR1/CD36/MMP8/CEBPA/TNIP1/IRAK2/GHRL/RIPK2/WDFY1/AIF1/EIF2AK2/PRKCE/EDN1/FKBP1B/LPL/IFIH1/STMP1/GBP5/NTRK3/PDGFRA/C3/SASH1/PTGER3/OSMR/DDX60/VEGFC/SUCNR1/NECTIN2/RSAD2/OAS3/FGF2/PGF/TNFSF11/TREML4,181
GO:0042060,wound healing,130/2577,327/12963,4.5990171974106817e-17,8.288961995466518e-14,5.726986678459827e-14,TLR4/LYN/VAV3/JMJD1C/PTEN/CHMP1B/NOTCH2/STXBP3/MAPK14/CFLAR/GNAQ/HIF1A/VPS4B/ARFGEF1/F5/CRK/F2RL1/PIK3CG/NFE2L2/PIK3CB/ALOX5/TGFBR1/JAK2/THBD/GNA13/PIK3CA/CLEC7A/PROS1/SLC11A1/PRKCD/F13A1/F11R/EMILIN2/SERPINA1/RAB27A/SYK/RAF1/CHMP2B/JAML/PAPSS2/LRG1/PRCP/PLA2G4A/SH2B3/PAK1/ARHGAP24/VCL/ADAM17/NLRP6/PLSCR1/CD44/CLASP1/PPP3CA/PLEK/P2RY1/HPSE/CEACAM1/ITGB3/ST3GAL4/MMRN1/THBS1/TLN1/DGKG/TPM1/MYLK/TNFAIP3/EXT1/MYH9/FGFR1OP2/ANO6/NRG1/PLAUR/P2RY12/VEGFA/EREG/IL6ST/TUBB1/CD59/SLC4A1/MERTK/CHMP5/TEC/MFSD2B/DGKD/SELP/TFPI/SYTL4/CD36/PDCD10/CADM4/DMTN/PEAR1/GP6/PPARG/SERPINB2/SLC6A4/ANXA1/AQP1/CD9/EPB41L4B/PRKCE/EDN1/ENTPD2/PRKG1/FCER1G/MPIG6B/TREML1/KRT1/FAP/PLPP3/MYOF/VIL1/PDGFRA/GP1BA/ALOX12/MYL9/VWF/PF4/GP5/PPL/SERPINC1/CYP4F2/EPPK1/GATA1/DSP/GATA2/ADRA2A/FERMT2/FGF2/OCLN,130
GO:0030335,positive regulation of cell migration,155/2577,430/12963,1.5036627781683497e-15,2.0325761603890666e-12,1.4043418946630191e-12,TLR4/NUMB/LYN/MOSPD2/SDCBP/FPR2/MAPK1/DOCK5/PTPRC/IGF1R/RIPOR2/NIPBL/IL1R1/CXCR2/SPAG9/SP1/APC/HIF1A/C5AR1/TGFBR2/ADAM9/CRK/F2RL1/PIK3CG/RTN4/PTGS2/ACVR1B/CXCL16/NFE2L2/DOCK4/PIK3CB/IL6R/AGO2/RAPGEF2/ATP7A/MAP4K4/PREX1/TGFBR1/ANXA3/JAK2/IQSEC1/IL1B/STAT3/NEDD9/HGF/IRS2/PDPK1/ITGAX/LYVE1/PPM1F/CLEC7A/NOTCH1/CYP1B1/MAP3K3/DOCK8/PTAFR/AKIRIN1/ROCK2/MYADM/SSH1/ADAM10/TNFSF14/PIK3CD/FGR/DAAM2/PAK1/ADAM17/PDGFC/TNFAIP6/GLIPR2/CASS4/CLASP1/PPP3CA/SEMA3C/OXSR1/WNK1/ITGB3/CD274/ICAM1/SEMA4D/ADAM8/THBS1/SEMA4B/MYLK/CCR1/APP/ANO6/DAPK2/P2RY12/VSIR/VEGFA/MMP9/SPI1/PTP4A1/ITGAV/CPNE3/PECAM1/C3AR1/MAP2K3/S100A11/BMPR2/EGF/SHTN1/CAMK1D/ANGPT1/RIN2/GAB1/LPAR1/SELP/GPER1/SEMA6B/PDCD10/SEMA4A/BMP2/DMTN/FUT7/TEK/MIR590/ANXA1/AIF1/FLT1/MIR23A/AQP1/EPB41L4B/KIT/PRKCE/EDN1/SPARC/ITGA2B/SEMA3B/ADAMTS1/PLPP3/NTRK3/VIL1/PDGFRA/MIR27A/AKAP12/SASH1/JCAD/SNAI1/RET/TWIST2/VEGFC/GATA2/XG/CDH5/PLVAP/ADRA2A/KITLG/FERMT2/SEMA3A/CCL20/FGF2/PGF/MMP2,155
GO:0002274,myeloid leukocyte activation,88/2577,201/12963,7.636630251199238e-15,5.790513493471355e-12,4.000765555046546e-12,TLR1/TLR6/TLR4/LYN/PTPRC/GAB2/CBL/LRRK2/TLR2/NOTCH2/STXBP3/CXCR2/IFNGR1/IFNGR2/PJA2/C5AR1/TGFBR2/ADGRE2/ADAM9/DYSF/F2RL1/SNAP23/PIK3CG/PSEN1/CD93/PREX1/ANXA3/RBPJ/JAK2/IL4R/IL18RAP/PDPK1/ITGAM/MYD88/SLC11A1/TRAF6/PRKCD/LAT2/LCP2/PTAFR/CD300LF/ADAM10/SYK/KMT2E/CLEC4D/PIK3CD/PLA2G4A/FGR/PLSCR1/SBNO2/CD177/LILRA2/THBS1/NDRG1/NMI/ITGB2/APP/TLR9/FCGR3A/S100A12/LTBR/SPI1/SNCA/CXCL6/CD300A/IL18/FES/SLC18A2/CNR1/MILR1/MMP8/CEBPA/RABGEF1/ANXA1/AIF1/KIT/PRKCE/CST7/STXBP2/FCER1G/CLU/ITGB8/GATA1/GATA2/SUCNR1/NECTIN2/IL10/IL31RA,88
GO:2000147,positive regulation of cell motility,156/2577,441/12963,7.98296308936841e-15,5.790513493471355e-12,4.000765555046546e-12,TLR4/NUMB/LYN/MOSPD2/SDCBP/FPR2/MAPK1/DOCK5/PTPRC/IGF1R/RIPOR2/NIPBL/IL1R1/CXCR2/SPAG9/SP1/APC/HIF1A/C5AR1/TGFBR2/ADAM9/CRK/F2RL1/PIK3CG/RTN4/PTGS2/ACVR1B/CXCL16/NFE2L2/DOCK4/PIK3CB/IL6R/AGO2/RAPGEF2/ATP7A/MAP4K4/PREX1/TGFBR1/ANXA3/JAK2/IQSEC1/IL1B/STAT3/NEDD9/HGF/IRS2/PDPK1/ITGAX/LYVE1/PPM1F/CLEC7A/NOTCH1/CYP1B1/MAP3K3/DOCK8/PTAFR/AKIRIN1/MALAT1/ROCK2/MYADM/SSH1/ADAM10/TNFSF14/PIK3CD/FGR/DAAM2/PAK1/ADAM17/PDGFC/TNFAIP6/GLIPR2/CASS4/CLASP1/PPP3CA/SEMA3C/OXSR1/WNK1/ITGB3/CD274/ICAM1/SEMA4D/ADAM8/THBS1/SEMA4B/MYLK/CCR1/APP/ANO6/DAPK2/P2RY12/VSIR/VEGFA/MMP9/SPI1/PTP4A1/ITGAV/CPNE3/PECAM1/C3AR1/MAP2K3/S100A11/BMPR2/EGF/SHTN1/CAMK1D/ANGPT1/RIN2/GAB1/LPAR1/SELP/GPER1/SEMA6B/PDCD10/SEMA4A/BMP2/DMTN/FUT7/TEK/MIR590/ANXA1/AIF1/FLT1/MIR23A/AQP1/EPB41L4B/KIT/PRKCE/EDN1/SPARC/ITGA2B/SEMA3B/ADAMTS1/PLPP3/NTRK3/VIL1/PDGFRA/MIR27A/AKAP12/SASH1/JCAD/SNAI1/RET/TWIST2/VEGFC/GATA2/XG/CDH5/PLVAP/ADRA2A/KITLG/FERMT2/SEMA3A/CCL20/FGF2/PGF/MMP2,156
GO:0006935,chemotaxis,130/2577,346/12963,8.567432577727177e-15,5.790513493471355e-12,4.000765555046546e-12,STX3/LYN/MOSPD2/FPR2/MAPK1/VAV3/LYST/RIPOR2/MAPK14/CXCR2/PROK2/IL17RA/PTPRJ/C5AR1/ADGRE2/DUSP1/CYRIB/CRK/F2RL1/PIK3CG/CXCL16/TREM1/DOCK4/PIK3CB/IL6R/BST1/ALOX5/PREX1/IL1B/NEDD9/CMTM1/HGF/PADI2/PLD1/PPM1F/NOTCH1/FPR1/PRKCD/C5AR2/PTAFR/DUSP3/CSF3R/CXCR1/AKIRIN1/ADAM10/TNFSF14/SYK/JAML/PIK3CD/BIN2/PIKFYVE/ADAM17/ELMO2/TNFAIP6/CXCL5/CXCL1/CMTM2/MPP1/ARRB2/SEMA3C/OXSR1/WNK1/ITGB3/PDE4B/NOD2/SEMA4D/FFAR2/ADAM8/THBS1/SEMA4B/CCR1/ITGB2/RALBP1/ANO6/PPBP/NRG1/PLAUR/DAPK2/P2RY12/S100A12/S100A8/VEGFA/CKLF/EDNRB/S100A9/ANOS1/SPI1/ITGAV/C3AR1/BMPR2/CAMK1D/PLXNB3/CXCL6/ANGPT1/FES/GAB1/LPAR1/CYSLTR1/SEMA6B/PF4V1/TRPM2/SEMA4A/EGR3/EPHB1/CD300H/ANXA1/AIF1/FLT1/KIT/EDN1/ITGA1/FCER1G/SEMA3B/C5/CCN3/NTRK3/PDGFRA/PF4/NR4A1/VEGFC/SUCNR1/ITGA9/CXCL3/SEMA3A/IL10/CCL20/FGF2/PGF/TNFSF11/MMP2,130
GO:0042330,taxis,130/2577,346/12963,8.567432577727177e-15,5.790513493471355e-12,4.000765555046546e-12,STX3/LYN/MOSPD2/FPR2/MAPK1/VAV3/LYST/RIPOR2/MAPK14/CXCR2/PROK2/IL17RA/PTPRJ/C5AR1/ADGRE2/DUSP1/CYRIB/CRK/F2RL1/PIK3CG/CXCL16/TREM1/DOCK4/PIK3CB/IL6R/BST1/ALOX5/PREX1/IL1B/NEDD9/CMTM1/HGF/PADI2/PLD1/PPM1F/NOTCH1/FPR1/PRKCD/C5AR2/PTAFR/DUSP3/CSF3R/CXCR1/AKIRIN1/ADAM10/TNFSF14/SYK/JAML/PIK3CD/BIN2/PIKFYVE/ADAM17/ELMO2/TNFAIP6/CXCL5/CXCL1/CMTM2/MPP1/ARRB2/SEMA3C/OXSR1/WNK1/ITGB3/PDE4B/NOD2/SEMA4D/FFAR2/ADAM8/THBS1/SEMA4B/CCR1/ITGB2/RALBP1/ANO6/PPBP/NRG1/PLAUR/DAPK2/P2RY12/S100A12/S100A8/VEGFA/CKLF/EDNRB/S100A9/ANOS1/SPI1/ITGAV/C3AR1/BMPR2/CAMK1D/PLXNB3/CXCL6/ANGPT1/FES/GAB1/LPAR1/CYSLTR1/SEMA6B/PF4V1/TRPM2/SEMA4A/EGR3/EPHB1/CD300H/ANXA1/AIF1/FLT1/KIT/EDN1/ITGA1/FCER1G/SEMA3B/C5/CCN3/NTRK3/PDGFRA/PF4/NR4A1/VEGFC/SUCNR1/ITGA9/CXCL3/SEMA3A/IL10/CCL20/FGF2/PGF/TNFSF11/MMP2,130
GO:0040017,positive regulation of locomotion,158/2577,450/12963,1.1189212937459218e-14,6.722230483649111e-12,4.6445048789523706e-12,TLR4/NUMB/STX3/LYN/MOSPD2/SDCBP/FPR2/MAPK1/DOCK5/PTPRC/IGF1R/RIPOR2/NIPBL/IL1R1/CXCR2/SPAG9/SP1/APC/HIF1A/C5AR1/TGFBR2/ADAM9/CRK/F2RL1/PIK3CG/RTN4/PTGS2/ACVR1B/CXCL16/NFE2L2/DOCK4/PIK3CB/IL6R/AGO2/RAPGEF2/ATP7A/MAP4K4/PREX1/TGFBR1/ANXA3/JAK2/IQSEC1/IL1B/STAT3/NEDD9/HGF/IRS2/PDPK1/ITGAX/LYVE1/PPM1F/CLEC7A/NOTCH1/CYP1B1/MAP3K3/DOCK8/PTAFR/AKIRIN1/MALAT1/ROCK2/MYADM/SSH1/ADAM10/TNFSF14/PIK3CD/FGR/DAAM2/PAK1/ADAM17/PDGFC/TNFAIP6/GLIPR2/CASS4/CLASP1/PPP3CA/SEMA3C/OXSR1/WNK1/ITGB3/CD274/ICAM1/SEMA4D/ADAM8/THBS1/SEMA4B/MYLK/CCR1/APP/ANO6/DAPK2/P2RY12/VSIR/VEGFA/MMP9/SPI1/PTP4A1/ITGAV/CPNE3/PECAM1/C3AR1/MAP2K3/S100A11/BMPR2/EGF/SHTN1/CAMK1D/ANGPT1/RIN2/GAB1/LPAR1/SELP/GPER1/SEMA6B/PDCD10/SEMA4A/BMP2/DMTN/FUT7/TEK/MIR590/ANXA1/AIF1/FLT1/MIR23A/AQP1/EPB41L4B/KIT/PRKCE/EDN1/SPARC/ITGA2B/SEMA3B/ADAMTS1/PLPP3/NTRK3/VIL1/PDGFRA/MIR27A/AKAP12/SASH1/JCAD/SNAI1/RET/TWIST2/VEGFC/GATA2/XG/SUCNR1/CDH5/PLVAP/ADRA2A/KITLG/FERMT2/SEMA3A/CCL20/FGF2/PGF/MMP2,158
GO:0031349,positive regulation of defense response,142/2577,393/12963,1.9472032970277647e-14,1.0528528227029125e-11,7.2743415801595116e-12,TLR1/TLR6/TLR4/TLR8/LYN/FPR2/NFKBIZ/ALPK1/MEFV/IRAK3/USP15/LRRK2/TLR2/TLR5/IL17RA/NAIP/RBM47/PAK2/MNDA/PJA2/STAT5B/SLC15A4/CARD8/EP300/TRIM25/PELI1/DDX3X/F2RL1/CEBPB/PIK3CG/RTN4/PTGS2/CREBBP/PIK3AP1/NLRC4/ERBIN/CTSS/IL1B/IL18RAP/PDPK1/RPS6KA3/BCL10/TLR10/MYD88/CLEC7A/IRAK4/TRAF6/ITCH/TNFRSF1A/HCK/CASP4/BIRC2/EMILIN2/CHUK/AKIRIN2/CD300LF/OSM/NLRP12/SYK/MAP2K6/APPL2/NFKBIA/CLEC4E/NEK7/LY96/NLRP3/SEC14L1/PAK1/EPG5/TBK1/NLRP6/PLSCR1/ARG1/ARRB2/TASL/MAPK13/CASP1/NOD2/CYLD/LILRA2/TNFSF4/FFAR2/ADAM8/NMI/TNFAIP3/PARP9/APP/TLR9/CLEC6A/HSPA1A/FLOT1/S100A12/S100A8/EREG/GBP2/FCGR1A/IL6ST/S100A9/ZNFX1/SPI1/LILRA5/LACC1/RIOK3/SNCA/ALOX5AP/RAB11FIP2/SLC15A3/IFI16/FFAR3/TIFA/PVR/CD300A/IL18/PDE2A/RIGI/IRF1/TRIM6/AIM2/CNR1/CD36/MMP8/CEBPA/TNIP1/IRAK2/RIPK2/WDFY1/EIF2AK2/PRKCE/LPL/IFIH1/STMP1/GBP5/C3/PTGER3/OSMR/DDX60/SUCNR1/NECTIN2/RSAD2/OAS3/TNFSF11/TREML4,142
